name,country_id/id
Banjul,base.gm
Bakau,base.gm
Fajara,base.gm
Serre-Kunda,base.gm
Abuko,base.gm
Lamin,base.gm
Yundum,base.gm
Brikama,base.gm
Bonto,base.gm
Gunjur,base.gm
Sibanor,base.gm
Barr,base.gm
Kanilai,base.gm
Kalagi,base.gm
Keneba,base.gm
Tendaba,base.gm
Soma,base.gm
Mansakonko,base.gm
Farafenni,base.gm
Njaba-Kunda,base.gm
Kaur,base.gm
Kerewan,base.gm
Noh-Kunda,base.gm
Panchang,base.gm
Kuntaur,base.gm
Brikamaba,base.gm
Kundang,base.gm
Sapu,base.gm
Georgetown,base.gm
Bansang,base.gm
Basse,base.gm
Fatoto,base.gm
Koina,base.gm
Brufut,base.gm
Tanji,base.gm
Tujereng,base.gm
Sanyang,base.gm
Kartong,base.gm
Laminkoto,base.gm
Albreda,base.gm
