"type_id","city_src","city_dest","value","state"
"Truck","Banjul","Banjul"," 0.24 ","done"
"Truck","Banjul","Bakau"," 0.23 ","done"
"Truck","Banjul","Fajara"," 0.23 ","done"
"Truck","Banjul","Serre-Kunda"," 0.23 ","done"
"Truck","Banjul","Abuko"," 0.24 ","done"
"Truck","Banjul","Lamin"," 0.21 ","done"
"Truck","Banjul","Yundum"," 0.24 ","done"
"Truck","Banjul","Brikama"," 0.28 ","done"
"Truck","Banjul","Bonto"," 0.28 ","done"
"Truck","Banjul","Gunjur"," 0.36 ","done"
"Truck","Banjul","Sibanor"," 0.52 ","done"
"Truck","Banjul","Barr"," 0.62 ","done"
"Truck","Banjul","Kanilai"," 0.56 ","done"
"Truck","Banjul","Kalagi"," 0.6 ","done"
"Truck","Banjul","Keneba"," 0.73 ","done"
"Truck","Banjul","Tendaba"," 0.68 ","done"
"Truck","Banjul","Soma"," 0.73 ","done"
"Truck","Banjul","Mansakonko"," 0.73 ","done"
"Truck","Banjul","Farafenni"," 0.92 ","done"
"Truck","Banjul","Njaba-Kunda"," 0.8 ","done"
"Truck","Banjul","Kaur"," 1.04 ","done"
"Truck","Banjul","Kerewan"," 0.72 ","done"
"Truck","Banjul","Noh-Kunda"," 0.78 ","done"
"Truck","Banjul","Panchang"," 0.93 ","done"
"Truck","Banjul","Kuntaur"," 1.29 ","done"
"Truck","Banjul","Brikamaba"," 1.04 ","done"
"Truck","Banjul","Kundang"," 1.04 ","done"
"Truck","Banjul","Sapu"," 1.04 ","done"
"Truck","Banjul","Georgetown"," 1.29 ","done"
"Truck","Banjul","Bansang"," 1.17 ","done"
"Truck","Banjul","Basse"," 1.22 ","done"
"Truck","Banjul","Fatoto"," 1.3 ","done"
"Truck","Banjul","Koina"," 1.3 ","done"
"Truck","Banjul","Brufut"," 0.26 ","done"
"Truck","Banjul","Tanji"," 0.26 ","done"
"Truck","Banjul","Tujereng"," 0.29 ","done"
"Truck","Banjul","Sanyang"," 0.3 ","done"
"Truck","Banjul","Kartong"," 0.31 ","done"
"Truck","Banjul","Laminkoto"," 1.11 ","done"
"Truck","Banjul","Albreda"," 0.61 ","done"
