"id","name","parent_id/id","property_valuation","property_cost_method","property_account_income_categ_id/id","property_account_expense_categ_id/id","property_account_income_categ_id/id","property_stock_account_output_categ_id/id","property_stock_valuation_account_id/id"
"product_carburant_oil","Oil Product","product.product_category_1","real_time","average",,,,,
"product_category_ago","AGO","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_gasoil","l10n_petrogas.coa_oil_product_expense_ago","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_ago","l10n_petrogas.coa_oil_product_stock_ago"
"product_category_pms","SUPER","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_super","l10n_petrogas.coa_oil_product_expense_pms","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_pms","l10n_petrogas.coa_oil_product_stock_pms"
"product_category_fioul","FIOUL","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_fioul","l10n_petrogas.coa_oil_product_expense_fioul","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_fioul","l10n_petrogas.coa_oil_product_stock_fioul"
"product_category_kero","KEROZINE","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_kerozine","l10n_petrogas.coa_oil_product_expense_kero","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_kero","l10n_petrogas.coa_oil_product_stock_kero"
"product_category_avgas","AVGAS","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_avgas","l10n_petrogas.coa_oil_product_expense_avgas","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_avgas","l10n_petrogas.coa_oil_product_stock_avgas"
"product_category_premix","PREMIX","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_premix","l10n_petrogas.coa_oil_product_expense_premix","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_premix","l10n_petrogas.coa_oil_product_stock_premix"
"product_category_lpg","LPG","product_carburant_oil","real_time","average","l10n_petrogas.coa_oil_product_income_lpg_bulk","l10n_petrogas.coa_oil_product_expense_lpg_bulk","l10n_petrogas.coa_supplier_oil","l10n_petrogas.coa_oil_product_expense_lpg_bulk","l10n_petrogas.coa_oil_product_stock_lpg_bulk"
"product_category_coupon","Coupon","product_carburant_oil","manual_periodic","standard","l10n_petrogas.coa_oil_product_income_coupon","l10n_petrogas.coa_oil_product_expense_coupon",,,
"product_structured_charges","Stock Charge Expense","product.cat_expense","manual_periodic","standard",,,,,
