id,name,department_id/id
smp_hr_job_001,Directrice Générale,smp_hr_payroll.smp_hr_department_010
smp_hr_job_002,Responsable Commercial Nktt,smp_hr_payroll.smp_hr_department_001
smp_hr_job_003,Comptable,smp_hr_payroll.smp_hr_department_002
smp_hr_job_004,Contrôleur De Gestion,smp_hr_payroll.smp_hr_department_003
smp_hr_job_005,Agent Commercial Ndb,smp_hr_payroll.smp_hr_department_004
smp_hr_job_006,Agent Administratif Archive,smp_hr_payroll.smp_hr_department_005
smp_hr_job_007,Technicien,smp_hr_payroll.smp_hr_department_006
smp_hr_job_008,Responsable Technique,smp_hr_payroll.smp_hr_department_006
smp_hr_job_009,Caissier,smp_hr_payroll.smp_hr_department_002
smp_hr_job_010,Secretaire,smp_hr_payroll.smp_hr_department_005
smp_hr_job_011,Planton,smp_hr_payroll.smp_hr_department_005
smp_hr_job_012,Ressource Humaine,smp_hr_payroll.smp_hr_department_005
smp_hr_job_013,Directeur Regional Ndb,smp_hr_payroll.smp_hr_department_008
smp_hr_job_014,Gardien,smp_hr_payroll.smp_hr_department_005
smp_hr_job_015,Chauffeur,smp_hr_payroll.smp_hr_department_005
smp_hr_job_016,Responsable Achat,smp_hr_payroll.smp_hr_department_005
smp_hr_job_017,Agent Commercial Nktt,smp_hr_payroll.smp_hr_department_001
